Refs,Description,Height,Manufacturer_Name,Manufacturer_Part_Number,Mouser Part Number,Mouser Price/Stock,RS Part Number,RS Price/Stock,datasheet,footprint,value
C1,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0.55,Murata Electronics,GRM155C81C105ME11J,81-GRM155C81C105ME1J,https://www.mouser.com/Search/Refine.aspx?Keyword=81-GRM155C81C105ME1J,,,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.pdf,CAPC1005X55N,1u
C2,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0.55,Murata Electronics,GRM155C81C105ME11J,81-GRM155C81C105ME1J,https://www.mouser.com/Search/Refine.aspx?Keyword=81-GRM155C81C105ME1J,,,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.pdf,CAPC1005X55N,1u
CAN_TR1,3.3 V CAN Transceiver,1.75,Texas Instruments,SN65HVD232DR,595-SN65HVD232DR,https://www.mouser.com/Search/Refine.aspx?Keyword=595-SN65HVD232DR,,,http://www.ti.com/lit/gpn/sn65hvd232,SN65HVD232DR:SOIC127P600X175-8N,SN65HVD232DR
Reg1,"Microchip TC2117-3.3VDBTR, LDO Voltage Regulator, 800mA, 3.3 V +/-0.5%, 2.7  6 Vin, 3-Pin SOT-223",1.8,Microchip,TC2117-3.3VDBTR,579-TC2117-3.3VDBTR,https://www.mouser.com/Search/Refine.aspx?Keyword=579-TC2117-3.3VDBTR,8234434,https://uk.rs-online.com/web/p/products/8234434,https://componentsearchengine.com/Datasheets/2/TC2117-3.3VDBTR.pdf,SOT230P700X180-4N,TC2117
